user_id,battery_capacity_(kwh),charging_station_id,energy_consumed_(kwh),charging_duration_(hours),charging_rate_(kw),charging_cost_(usd),time_of_day,day_of_week,state_of_charge_(start_%),state_of_charge_(end_%),distance_driven_(since_last_charge)_(km),temperature_(°c),vehicle_age_(years),charger_type,vehicle_model_BMW i3,vehicle_model_Chevy Bolt,vehicle_model_Hyundai Kona,vehicle_model_Nissan Leaf,vehicle_model_Tesla Model 3,charging_station_location_Chicago,charging_station_location_Houston,charging_station_location_Los Angeles,charging_station_location_New York,charging_station_location_San Francisco,user_type_Casual Driver,user_type_Commuter,user_type_Long-Distance Traveler,start_hour,start_day,start_month,end_hour,end_day,end_month
50,1.235034935104349,36,-1.5539877904632533,-0.056413916558233655,1.709013159552482,-1.2009626451259798,1,6,-0.9114400039187599,0.6883128201790479,0.2022225705976549,-0.6667867611051915,1.033871883650717,1,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,5,18,1,5
51,0.507554088801715,109,-1.5378356556468482,-1.6565542983552055,1.0426060260077668,0.18148927877422247,0,2,-1.4650377833172674,1.0827407592192206,0.8674738353001419,1.0406590841043988,-0.4315863082691366,2,1,0,0,0,0,0,0,0,0,1,1,0,0,14,1,5,16,1,5
52,-1.1899012192377647,55,0.7368111622779501,-0.35838523841334635,-0.9353898895049878,0.5164921576437053,0,6,1.4432535212934372,-0.22063274151741566,-1.147442485261255,-0.8986138098258746,-0.26542083743714423,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17,1,5,23,1,5
53,-1.1899012192377647,192,1.0689432108817511,0.9847168202511424,1.4894812672005662,-0.3444306850137683,0,3,-1.3189414985808574,-0.09977389164839207,0.9722219067553303,-1.550225409992953,-1.5647135585250054,1,1,0,0,0,0,1,0,0,0,0,0,0,1,20,1,5,0,2,5
54,-0.6079165421956573,219,1.4817320019180795,-0.33760368837266164,0.7310703798304158,1.0733056462474477,3,2,1.5856751711307644,0.30893720890069937,-1.2137043640933378,0.1714461920349587,0.6007743099547632,2,0,0,1,0,0,0,0,1,0,0,0,0,1,23,1,5,3,2,5
55,1.235034935104349,185,-1.1392394156912289,0.9849783670058512,0.6236168055571707,-1.1865967117689475,2,4,-0.8906090794421921,-0.2712482838255236,0.15253437268048112,0.29946636666530174,0.1676767362588095,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,5,6,2,5
56,0.11355533055169492,69,0.3491382283478393,-0.5572313352664178,0.758778026525301,1.525071852513475,2,6,-1.4810605223200874,0.44240213122510036,-0.23316421625426276,-0.8243015123112413,-1.5647135585250054,2,0,0,0,0,1,0,0,0,1,0,1,0,0,4,2,5,11,2,5
57,-0.2255490083899619,317,1.548172308795827,1.5123702603062488,-1.0699309307901759,0.7109503922426226,2,3,0.6043816180025458,-1.1568284108536413,0.4583598442379645,-0.32639133537510506,-0.698518411133098,1,1,0,0,0,0,0,0,0,0,1,0,1,0,7,2,5,17,2,5
58,-0.6079165421956573,130,1.6128953777372064,-1.274213413100113,1.553619083781624,0.5351832530882665,1,6,0.32359882343347474,-1.0352462991031661,-0.28809252067628555,1.5650761161774287,-0.26542083743714423,2,0,0,0,1,0,0,1,0,0,0,1,0,0,10,2,5,20,2,5
59,1.235034935104349,55,-0.9503931441848248,-0.9278344000654812,-0.041833940144954465,-1.294592529645043,0,6,1.29214647372427,-0.6134568020295798,-0.06103429359257343,-0.6873533431630554,1.4669694573466707,2,1,0,0,0,0,1,0,0,0,0,1,0,0,13,2,5,20,2,5
60,1.235034935104349,378,1.3113810087960858,0.1361237084320194,1.0747199111252042,-1.4707364620769072,2,3,-0.9546395671469998,0.8658137942002048,-0.15591416101911262,1.2002308695917978,0.6007743099547632,1,0,0,0,1,0,0,1,0,0,0,1,0,0,15,2,5,19,2,5
61,-0.6079165421956573,97,-0.9533838905501618,-0.17657102564137878,0.04117401060619044,1.2576682913573103,2,2,-0.6596309143086774,-1.3845793250077016,-1.2588621111846983,1.5778691598323578,1.4669694573466707,0,0,0,0,1,0,0,1,0,0,0,1,0,0,18,2,5,0,3,5
62,0.02256685793329226,336,0.9195038088532363,-0.1428239324657721,0.3700726424707881,0.6971989912943679,0,1,1.4009619658402472,-0.13519324821282186,1.5444042807700749,1.1864035558641124,1.4669694573466707,2,1,0,0,0,0,1,0,0,0,0,1,0,0,21,2,5,3,3,5
63,2.4143255879951973,87,0.16257077574722964,-1.5263215446639764,1.606618590918655,0.7734720392196364,1,0,0.16102935400626284,-0.8925762426064539,-1.5335479946281438,-0.6132862431405753,-1.1316159848290517,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,5,7,3,5
64,1.235034935104349,294,-0.6090837696001744,0.2005527991346288,-1.3972161541899086,0.19524750311850234,3,6,1.5043169454077514,-0.44884828121457326,-0.3163475229593193,1.267965637804985,-1.5647135585250054,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,3,5,5,3,5
65,-1.1899012192377647,119,1.5702902590084438,-0.1376130435211837,0.6030044229185993,1.0864886466496546,3,5,-0.9123367696277324,0.9958378696073005,1.6989659854172758,-0.4938690374089299,-0.4421890371981616,2,0,0,0,1,0,0,0,1,0,0,1,0,0,5,3,5,12,3,5
66,-0.6079165421956573,208,0.7606543353114572,-0.9331738446535153,-0.02499711698657863,-0.9612458746517952,3,4,1.1596487358285965,0.9773678671420498,0.16430258337883366,1.3495482873604052,1.4669694573466707,1,1,0,0,0,0,0,1,0,0,0,0,0,1,8,3,5,12,3,5
67,1.235034935104349,334,-0.2556564900331464,-0.6225308941365902,-0.7849037967110514,1.4258289314799601,0,3,-1.7290481671502211,-0.4301083847931437,-0.6609508758676427,0.08229782925869404,-0.698518411133098,1,0,0,0,1,0,0,0,0,0,1,0,0,1,11,3,5,19,3,5
68,0.507554088801715,413,1.1472061850153132,-1.33108480753381,0.5149700135188517,-0.8165431587184045,1,6,-1.1070682444550706,0.6815041761898996,-0.8621753867667603,-1.5241369088687193,1.033871883650717,2,0,0,0,1,0,0,0,1,0,0,1,0,0,14,3,5,20,3,5
69,0.02256685793329226,154,-1.2013134842958417,-0.5340222140693288,-0.02499711698657863,-0.08221183109549231,0,0,-0.506117659185653,0.11681869436301984,0.416991608233772,0.22090977623885952,1.4669694573466707,0,1,0,0,0,0,0,0,1,0,0,1,0,0,16,3,5,23,3,5
70,-1.1899012192377647,35,1.1156301266645028,1.2621248326289227,-1.6007731545337334,-0.7562173169038968,3,1,0.3551898713888111,-1.0559103356488782,1.4659516156668961,-1.213340284740503,0.2208470239844778,0,1,0,0,0,0,0,1,0,0,0,0,0,1,19,3,5,23,3,5
71,0.02256685793329226,79,1.2810308448736802,0.9529816861405935,0.00918375041121413,-0.6588161280357254,2,3,1.5414915011516659,-1.0057294916475965,-1.5576935137552534,1.320979946589122,-0.3644501205611196,0,0,0,0,0,1,0,0,0,0,1,0,1,0,22,3,5,1,13,5
72,0.02256685793329226,67,0.8465636376912167,-1.2465177722626377,-0.19509002339072803,1.3582450065378424,2,6,-0.5913550883195642,1.0081973715594061,-1.1298447479992644,-0.5126904299189095,-1.1316159848290517,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,4,5,0,13,5
73,0.507554088801715,343,-0.9050978724547323,-0.6598941010293946,0.2962480083464417,-1.1018243794874327,2,4,-1.3902143316441649,1.2566461409838634,-0.6570359817943617,0.2664022891524454,-0.26542083743714423,2,0,0,1,0,0,1,0,0,0,0,0,1,0,23,12,5,5,13,5
74,-0.7130265389318541,413,-1.3624788689170972,-1.5913795630265775,1.0943296979323691,-0.6842588606906167,3,5,-0.7305555745107245,1.3072981890610789,0.3537390434282442,0.9020893211969256,-0.698518411133098,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,13,5,5,13,5
75,0.507554088801715,34,1.2147111220123212,0.014957808048982738,-1.4934577750305507,-0.16607588490023723,1,3,-0.3341351542738412,-0.04346179162675801,1.4684146552417925,0.32044125787908845,0.1676767362588095,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,13,5,10,13,5
76,-1.1899012192377647,97,0.002110578179302879,1.1797773727209626,-1.199575303041646,0.20836362764776753,3,6,0.08939914815763424,1.0575587574528784,0.21918193373651934,-1.3853957636425547,0.1676767362588095,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,13,5,13,13,5
77,1.235034935104349,169,0.303794827304137,1.5045316776261892,1.7189882805883354,1.6171628630603276,0,2,1.5456869298459732,0.021079903893679527,1.1076451870847603,0.9995190888756451,-1.5647135585250054,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10,13,5,13,13,5
78,0.02256685793329226,169,-0.5232955698950709,1.0103573453759749,0.2989356709960414,-0.46024592768300226,1,1,-0.3994344371766998,-0.2266487436866216,1.061594278013946,1.657123020830956,-0.26542083743714423,1,1,0,0,0,0,0,0,0,1,0,0,1,0,13,13,5,22,13,5
79,1.235034935104349,151,-0.5492711318572262,-1.1696379126625023,0.188795534320492,1.5604398204813876,2,5,-0.4574558791426166,0.3546668904868894,-1.68723064587984,-1.3622611449474757,-1.1316159848290517,2,1,0,0,0,0,0,1,0,0,0,1,0,0,15,13,5,1,14,5
80,0.02256685793329226,71,0.7941719761676894,1.376522770595755,-0.18511911279110527,-0.6390682583878614,1,3,1.6192285565263012,1.2292869482051105,1.5303391176418075,-0.013690445229436007,-1.5647135585250054,0,1,0,0,0,0,0,1,0,0,0,0,1,0,18,13,5,19,13,5
81,-1.2844400359437411,3,0.41347440225935816,-1.4874318311077974,1.5127196699806191,-0.42238414748601005,1,6,0.24692121408218948,-0.7148724498580733,0.8203979209296698,-0.8572570508837739,1.4669694573466707,1,0,0,1,0,0,0,0,1,0,0,1,0,0,21,13,5,5,14,5
82,-1.1899012192377647,314,-0.3085833359160412,0.43010415910383276,-0.025156695565090974,-0.304057062475153,3,5,-0.010072196089793274,-1.8795027437251854,-0.7121251188903907,1.2015138299416488,1.033871883650717,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,14,5,9,14,5
83,0.507554088801715,32,-0.0475136999997472,-1.3787107362981674,-0.02499711698657863,0.6496052923366794,1,2,0.24382439486342145,1.295530386461645,-0.702728515032496,0.16685980971697162,-0.26542083743714423,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,14,5,11,14,5
84,-0.6079165421956573,287,-0.44937622859405046,1.0741311817549255,1.3586458692997292,1.5932634185249828,3,3,-0.9339404679229042,-0.6694910579328183,1.5080766633887046,-0.6380992208649698,-1.1316159848290517,1,0,0,1,0,0,0,0,0,0,1,1,0,0,5,14,5,12,14,5
85,-1.1899012192377647,82,0.6997374571455541,-0.9506194372936247,-0.9820934265364702,-0.2543893100304147,0,5,0.030834068408295716,-1.2229134461842688,-1.0668316903425097,-0.9064148763390214,-1.1316159848290517,0,0,0,0,0,1,0,1,0,0,0,1,0,0,8,14,5,11,14,5
86,1.235034935104349,43,-0.9612391682378073,-0.3535151652969086,0.5134640850532857,-0.42110958973195334,1,3,1.2177270033345635,1.3226957357037203,0.2032091673231518,-0.3279517174773279,-0.26542083743714423,0,0,0,0,0,1,1,0,0,0,0,1,0,0,11,14,5,20,14,5
87,-0.6079165421956573,391,-0.07486600608749569,1.0348315399056565,1.4192805083279827,-0.4172936276846172,1,3,1.0177773347341434,0.4634317211566648,-0.5936155014241854,-1.3379454903356358,-0.26542083743714423,1,0,0,0,0,1,0,0,0,0,1,0,1,0,14,14,5,18,14,5
88,-0.6079165421956573,105,1.7024269226653137,0.3178306302557894,-0.9475495155055234,1.2486685014295762,1,5,1.5367431682239494,-0.3365305051484115,1.4379333077158085,-0.3083438289112692,-0.698518411133098,1,0,0,0,0,1,0,0,0,1,0,1,0,0,16,14,5,20,14,5
89,0.507554088801715,1,-0.4383852978134552,-0.7539991809865829,0.3222913277443714,-0.6513668689334632,2,3,2.322966194178021,0.4616278061803774,0.1330990491130976,-1.4689474638734588,-1.1316159848290517,1,1,0,0,0,0,0,0,1,0,0,0,0,1,19,14,5,23,14,5
90,0.02256685793329226,61,-0.6778940147869453,0.2581117091609618,-0.654910508283266,-0.955859129540746,3,2,-0.04728143838839151,0.6280618995698926,-0.8852022486975412,-0.5225239667631113,1.4669694573466707,1,0,1,0,0,0,0,0,0,0,1,1,0,0,22,14,5,2,15,5
91,-1.1899012192377647,270,-0.6505247794479699,-1.1217043676210785,1.2072145195055293,-0.816153766426861,3,5,-1.4736235799543869,1.241906407893708,2.9218531025957835,0.8464781531303661,-1.5647135585250054,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,15,5,10,15,5
92,-0.6079165421956573,180,1.1874096250984543,0.6232241590031,-1.5009783469134033,-0.6198638437140296,2,6,0.04931138886936257,1.0982629332233615,0.45260861630099886,1.5268322337663685,0.1676767362588095,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,15,5,13,15,5
93,0.507554088801715,224,1.0435152727954835,-1.2632913633680578,-0.41551587620083325,-1.1310336262343208,3,0,1.135956151769027,0.04148779731412076,-0.9797071065587892,1.0074547389176025,1.033871883650717,2,0,1,0,0,0,0,1,0,0,0,0,0,1,6,15,5,15,15,5
94,0.02256685793329226,6,1.3267543706809481,1.1744236267156092,0.3902038381722001,-0.1198232878528884,0,5,0.11072062282927811,-0.6200749298979266,-1.633146710730443,-1.1455485629009725,-0.26542083743714423,1,0,1,0,0,0,0,0,1,0,0,1,0,0,9,15,5,15,15,5
